.mpc	application/x-project
.tar	application/x-tar
.abc	text/vnd.abc
.hdf	application/x-hdf
.mc$	application/x-magic-cap-package-1.0
.cxx	text/plain
.m1v	video/mpeg
.nvd	application/x-navidoc
.aab	application/x-authorware-bin
.bsh	application/x-bsh
.ai	application/postscript
.uni	text/uri-list
.skt	application/x-koan
.f77	text/x-fortran
.sst	application/vnd.ms-pki.certstore
.step	application/step
.mid	application/x-midi
.f90	text/plain
.pvu	paleovu/x-pv
.asx	application/x-mplayer2
.wiz	application/msword
.xlw	application/excel
.nc	application/x-netcdf
.niff	image/x-niff
.pfunk	audio/make
.web	application/vnd.xara
.pre	application/x-freelance
.sgml	text/sgml
.rpm	audio/x-pn-realaudio-plugin
.p7c	application/pkcs7-mime
.jav	text/plain
.mcf	image/vasa
.wrl	application/x-world
.gzip	application/x-gzip
.qif	image/x-quicktime
.vmf	application/vocaltec-media-file
.unis	text/uri-list
.qtc	video/x-qtc
.lsp	application/x-lisp
.arc	application/octet-stream
.java	text/plain
.wb1	application/x-qpro
.p10	application/pkcs10
.me	application/x-troff-me
.wml	text/vnd.wap.wml
.aam	application/x-authorware-map
.iefs	image/ief
.x-png	image/png
.py	text/x-script.phyton
.s3m	audio/s3m
.flx	text/vnd.fmi.flexstor
.wav	audio/wav
.gsm	audio/x-gsm
.g	text/plain
.cha	application/x-chat
.pkg	application/x-newton-compatible-pkg
.idc	text/plain
.mpeg	video/mpeg
.qd3	x-world/x-3dmf
.rv	video/vnd.rn-realvideo
.cer	application/pkix-cert
.src	application/x-wais-source
.aiff	audio/aiff
.gl	video/gl
.sgm	text/sgml
.mrc	application/marc
.htt	text/webviewhtml
.dxf	application/dxf
.dcr	application/x-director
.fpx	image/vnd.fpx
.dl	video/dl
.pdf	application/pdf
.tcl	application/x-tcl
.au	audio/basic
.naplps	image/naplps
.arj	application/arj
.mjpg	video/x-motion-jpeg
.bmp	image/bmp
.unv	application/i-deas
.mpx	application/x-project
.eps	application/postscript
.mpg	audio/mpeg
.xbm	image/x-xbitmap
.spr	application/x-sprite
.hpgl	application/vnd.hp-hpgl
.js	application/x-javascript
.xlt	application/excel
.ccad	application/clariscad
.w60	application/wordperfect6.0
.csh	application/x-csh
.mm	application/base64
.pcx	image/x-pcx
.tgz	application/gnutar
.smil	application/smil
.igs	application/iges
.pgm	image/x-portable-graymap
.talk	text/x-speech
.tex	application/x-tex
.lha	application/lha
.jcm	application/x-java-commerce
.art	image/x-jg
.xdr	video/x-amt-demorun
.xlc	application/excel
.gif	image/gif
.etx	text/x-setext
.pct	image/x-pict
.cat	application/vnd.ms-pki.seccat
.mzz	application/x-vnd.audioexplosion.mzz
.pas	text/pascal
.svr	application/x-world
.man	application/x-troff-man
.ms	application/x-troff-ms
.jut	image/jutvision
.tr	application/x-troff
.lst	text/plain
.word	application/msword
.iv	application/x-inventor
.wrz	model/vrml
.mbd	application/mbedlet
.mpa	audio/mpeg
.pwz	application/vnd.ms-powerpoint
.class	application/java
.bcpio	application/x-bcpio
.my	audio/make
.saveme	application/octet-stream
.w6w	application/msword
.asf	video/x-ms-asf
.fmf	video/x-atomic3d-feature
.rast	image/cmu-raster
.rp	image/vnd.rn-realpix
.rgb	image/x-rgb
.uue	text/x-uuencode
.aos	application/x-nokia-9000-communicator-add-on-software
.voc	audio/voc
.pbm	image/x-portable-bitmap
.exe	application/octet-stream
.rmm	audio/x-pn-realaudio
.ivr	i-world/i-vrml
.omc	application/x-omc
.imap	application/x-httpd-imap
.lhx	application/octet-stream
.p7m	application/pkcs7-mime
.aip	text/x-audiosoft-intra
.vsw	application/x-visio
.part	application/pro_eng
.moov	video/quicktime
.elc	application/x-bytecode.elisp (compiled elisp)
.vew	application/groupwise
.roff	application/x-troff
.avs	video/avs-video
.vst	application/x-visio
.jam	audio/x-jam
.gtar	application/x-gtar
.skp	application/x-koan
.def	text/plain
.ncm	application/vnd.nokia.configuration-message
.fli	video/fli
.s	text/x-asm
.ima	application/x-ima
.uri	text/uri-list
.dv	video/x-dv
.qcp	audio/vnd.qcelp
.kar	audio/midi
.xif	image/vnd.xiff
.dp	application/commonground
.shar	application/x-bsh
.chat	application/x-chat
.hta	application/hta
.rmi	audio/mid
.zoo	application/octet-stream
.xlk	application/excel
.wp6	application/wordperfect
.mcp	application/netmc
.rtf	application/rtf
.xml	application/xml
.env	application/x-envoy
.png	image/png
.dump	application/octet-stream
.mpt	application/x-project
.hpg	application/vnd.hp-hpgl
.acgi	text/html
.g3	image/g3fax
.vsd	application/x-visio
.dot	application/msword
.asp	text/asp
.ras	application/x-cmu-raster
.wbmp	image/vnd.wap.wbmp
.wmlsc	application/vnd.wap.wmlscriptc
.evy	application/envoy
.ppm	image/x-portable-pixmap
.tsi	audio/tsp-audio
.h	text/plain
.conf	text/plain
.deepv	application/x-deepv
.boo	application/book
.tbk	application/toolbook
.avi	application/x-troff-msvideo
.m3u	audio/x-mpequrl
.ico	image/x-icon
.html	text/html
.boz	application/x-bzip2
.hgl	application/vnd.hp-hpgl
.vcs	text/x-vcalendar
.mcd	application/mcad
.stl	application/sla
.c	text/plain
.doc	application/msword
.c++	text/plain
.viv	video/vivo
.htx	text/html
.ppt	application/mspowerpoint
.sprite	application/x-sprite
.ksh	application/x-ksh
.wsrc	application/x-wais-source
.vrml	application/x-vrml
.xls	application/excel
.skm	application/x-koan
.tsv	text/tab-separated-values
.z	application/x-compress
.pov	model/x-pov
.lzh	application/octet-stream
.cpt	application/mac-compactpro
.cdf	application/cdf
.mme	application/base64
.omcr	application/x-omcregerator
.com	application/octet-stream
.rt	text/richtext
.ief	image/ief
.sdml	text/plain
.jfif-tbnl	image/jpeg
.pko	application/vnd.ms-pki.pko
.rng	application/ringing-tones
.wmf	windows/metafile
.lma	audio/nspaudio
.xmz	xgl/movie
.wpd	application/wordperfect
.inf	application/inf
.iges	application/iges
.vmd	application/vocaltec-media-desc
.pot	application/mspowerpoint
.rtx	application/rtf
.m	text/plain
.dwg	application/acad
.hh	text/plain
.snd	audio/basic
.rnx	application/vnd.rn-realplayer
.pic	image/pict
.tiff	image/tiff
.p7r	application/x-pkcs7-certreqresp
.jps	image/x-jps
.swf	application/x-shockwave-flash
.bm	image/bmp
.xll	application/excel
.shtml	text/html
.cc	text/plain
.xla	application/excel
.mv	video/x-sgi-movie
.hqx	application/binhex
.vos	video/vosaic
.sdr	application/sounder
.3dm	x-world/x-3dmf
.wp5	application/wordperfect
.asm	text/x-asm
.pcl	application/vnd.hp-pcl
.afl	video/animaflex
.rexx	text/x-script.rexx
.mod	audio/mod
.gss	application/x-gss
.t	application/x-troff
.aim	application/x-aim
.pict	image/pict
.m2a	audio/mpeg
.ram	audio/x-pn-realaudio
.mp2	audio/mpeg
.mht	message/rfc822
.mpe	video/mpeg
.bin	application/mac-binary
.xsr	video/x-amt-showrun
.plx	application/x-pixclscript
.isu	video/x-isvideo
.crt	application/pkix-cert
.help	application/x-helpfile
.xwd	image/x-xwd
.ppz	application/mspowerpoint
.funk	audio/make
.dvi	application/x-dvi
.sdp	application/sdp
.cco	application/x-cocoa
.pm5	application/x-pagemaker
.sid	audio/x-psid
.tif	image/tiff
.psd	application/octet-stream
.ip	application/x-ip2
.dir	application/x-director
.f	text/plain
.jpe	image/jpeg
.sea	application/sea
.xpm	image/x-xpixmap
.wp	application/wordperfect
.gsd	audio/x-gsm
.sol	application/solids
.rmp	audio/x-pn-realaudio
.crl	application/pkcs-crl
.p7a	application/x-pkcs7-signature
.uil	text/x-uil
.lam	audio/x-liveaudio
.vdo	video/vdo
.wk1	application/x-123
.latex	application/x-latex
.cpio	application/x-cpio
.stp	application/step
.pm4	application/x-pagemaker
.htc	text/x-component
.mpv	application/x-project
.fif	application/fractals
.xlv	application/excel
.p12	application/pkcs-12
.nix	application/x-mix-transfer
.aas	application/x-authorware-seg
.lsx	text/x-la-asf
.mar	text/plain
.sbk	application/x-tbook
.prt	application/pro_eng
.vrt	x-world/x-vrt
.css	application/x-pointplus
.spc	application/x-pkcs7-certificates
.wtk	application/x-wintalk
.pm	image/x-xpixmap
.xm	audio/xm
.book	application/book
.omcd	application/x-omcdatamaker
.gsp	application/x-gsp
.drw	application/drafting
.lzx	application/lzx
.texinfo	application/x-texinfo
.qti	image/x-quicktime
.list	text/plain
.aif	audio/aiff
.nsc	application/x-conference
.mhtml	message/rfc822
.wmlc	application/vnd.wap.wmlc
.p	text/x-pascal
.vcd	application/x-cdlink
.pps	application/mspowerpoint
.midi	application/x-midi
.ice	x-conference/x-cooltalk
.sv4crc	application/x-sv4crc
.la	audio/nspaudio
.text	application/plain
.der	application/x-x509-ca-cert
.sh	application/x-bsh
.ins	application/x-internett-signup
.xlm	application/excel
.wri	application/mswrite
.uris	text/uri-list
.mpp	application/vnd.ms-project
.qt	video/quicktime
.qd3d	x-world/x-3dmf
.nap	image/naplps
.w61	application/wordperfect6.1
.aifc	audio/aiff
.p7s	application/pkcs7-signature
.skd	application/x-koan
.m2v	video/mpeg
.fdf	application/vnd.fdf
.xpix	application/x-vnd.ls-xpix
.for	text/plain
.sv4cpio	application/x-sv4cpio
.jpeg	image/jpeg
.mp3	audio/mpeg3
.cpp	text/x-c
.xgz	xgl/drawing
.set	application/set
.tsp	application/dsptype
.hlp	application/hlp
.3dmf	x-world/x-3dmf
.ustar	application/x-ustar
.a	application/octet-stream
.wmls	text/vnd.wap.wmlscript
.sit	application/x-sit
.ra	audio/x-pn-realaudio
.vivo	video/vivo
.xyz	chemical/x-pdb
.dwf	drawing/x-dwf (old)
.mjf	audio/x-vnd.audioexplosion.mjuicemediafile
.xlb	application/excel
.hlb	text/x-script
.uu	application/octet-stream
.ppa	application/vnd.ms-powerpoint
.jfif	image/jpeg
.pdb	chemical/x-pdb
.it	audio/it
.flo	image/florian
.log	text/plain
.frl	application/freeloader
.wq1	application/x-lotus
.wsc	text/scriplet
.rm	application/vnd.rn-realmedia
.aps	application/mime
.mime	message/rfc822
.scm	application/x-lotusscreencam
.ssi	text/x-server-parsed-html
.rf	image/vnd.rn-realflash
.htmls	text/html
.gz	application/x-compressed
.svf	image/vnd.dwg
.pl	text/plain
.htm	text/html
.vqe	audio/x-twinvq-plugin
.xl	application/excel
.vqf	audio/x-twinvq
.xld	application/excel
.nif	image/x-niff
.bz2	application/x-bzip2
.vox	audio/voxware
.zsh	text/x-script.zsh
.movie	video/x-sgi-movie
.mif	application/x-frame
.bz	application/x-bzip
.vda	application/vda
.ps	application/postscript
.tcsh	text/x-script.tcsh
.o	application/octet-stream
.pyc	application/x-bytecode.python
.ssm	application/streamingmedia
.vql	audio/x-twinvq-plugin
.sl	application/x-seelogo
.zip	application/x-compressed
.ani	application/x-navi-animation
.ivy	application/x-livescreen
.dxr	application/x-director
.txt	text/plain
.turbot	image/florian
.map	application/x-navimap
.pnm	application/x-portable-anymap
.ltx	application/x-latex
.dif	video/x-dv
.oda	application/oda
.texi	application/x-texinfo
.jpg	image/jpeg
.mov	video/quicktime
.qtif	image/x-quicktime
.spl	application/futuresplash
.smi	application/smil
.es	application/x-esrehber
.el	text/x-script.elisp
.mpga	audio/mpeg
